date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-04-10,4.087167,33.383571,24.682409,13.346402,62.095002,24.438086,31.14433,33.148699,31.87982,90.281663,48.542513,94.06939,45.979081,25.014509,35.815342,14.579138,24.089506,31.192517,34.645678,29.415701,4.47091,23.031836,21.432615,21.025761,7.175415,23.068058,NA,26.810801,47.687367,26.181669
2000-04-11,3.905288,33.849861,25.122381,13.547705,59.902155,25.183474,31.95679,34.101533,32.317217,88.384325,49.042951,91.951144,45.847587,25.75507,34.951706,15.287846,24.958715,32.096344,35.135024,28.668025,4.691856,23.031836,21.574688,21.148479,7.350937,23.158168,NA,27.182066,47.546696,26.558083
2000-04-12,3.572184,35.14674,26.486293,13.990572,55.62343,25.272211,33.581712,32.145712,31.342452,81.427419,48.042075,87.618367,42.735561,25.343647,35.281922,15.713071,24.048115,31.823094,33.862725,27.12995,4.620375,23.357247,22.508305,21.271198,7.624755,23.158168,NA,27.314663,46.843342,26.74629
2000-04-13,3.721365,34.039292,26.046322,13.527575,52.307418,24.686548,32.092202,31.493775,30.092756,80.320639,45.494389,85.211269,42.472573,25.096794,34.342083,15.308095,22.599433,31.865132,34.35207,27.087225,4.568388,22.923366,22.569193,21.516635,7.456253,21.941688,NA,26.757761,45.061514,26.767201
2000-04-14,3.658014,31.24154,24.902395,13.044447,48.777469,24.331602,30.628082,31.192872,29.142979,69.779873,43.856591,80.878493,38.746909,24.12995,32.055998,15.227099,22.226915,30.540922,33.177641,25.335528,4.431919,21.947134,20.458405,19.634952,7.182433,20.27466,NA,25.935668,41.263405,26.348964
2000-04-17,4.050382,31.24154,24.858398,13.185359,56.907048,23.550719,30.433426,31.092575,30.392684,73.785364,41.67286,86.174108,43.130043,25.508217,31.9544,15.713071,22.309697,30.225634,33.634363,25.933668,4.366935,21.983291,22.406825,19.675858,7.161368,21.468613,NA,25.723516,40.513161,25.261546
2000-04-18,4.148474,32.62585,24.462424,12.963926,59.260347,24.012149,28.977768,31.694372,31.292467,79.055747,42.764725,85.885257,45.233948,26.82477,32.716429,15.753568,21.52327,30.225634,34.580432,27.535831,4.405925,22.887209,21.552866,20.207638,7.28775,20.927955,NA,25.750036,40.419381,25.491577
2000-04-19,3.960465,32.523846,26.22231,12.2171,56.586143,24.065391,28.673095,32.847806,31.092509,77.73224,42.764725,80.878493,41.749356,27.071623,31.700387,15.935807,21.895788,30.414806,36.015846,26.894966,4.581381,23.899598,21.552866,19.55314,7.266685,22.031798,NA,26.200861,41.216515,25.909815
2000-04-20,3.886896,33.397307,28.202183,12.338865,55.730398,24.509075,29.383997,33.900943,31.692365,74.988129,42.673737,80.108222,40.456331,26.865912,31.42098,16.016803,23.716988,31.024364,36.407323,26.980414,4.568388,24.008068,22.490834,20.08492,7.540495,23.090585,NA,25.564405,43.279685,26.432611
2000-04-24,3.940029,35.046745,26.662282,12.663572,54.286328,24.20737,30.331869,32.296159,32.404693,73.352216,43.356153,82.0339,40.719319,27.606473,30.379535,16.077549,25.827924,32.74794,37.549129,22.772068,4.490407,25.165083,23.000599,20.371263,7.800277,23.383442,NA,26.280417,44.170599,26.725378
2000-04-25,4.195477,36.900521,27.454231,13.028867,56.479175,24.083139,27.962193,32.496759,33.192004,81.953951,42.946703,86.655528,43.831345,27.750471,31.725792,16.361032,25.66236,31.549844,37.842737,23.712003,4.743843,25.128927,20.961539,21.598447,7.666877,23.270805,NA,26.704726,44.780172,27.101791
2000-04-26,3.966595,36.112302,28.114188,12.907102,57.120984,24.509075,26.60809,34.001236,32.642142,79.790324,44.038568,85.114985,42.362995,27.236193,31.065361,16.016803,25.745142,29.910345,37.549129,23.242036,4.561887,25.165083,19.819665,21.434823,7.56156,21.851578,NA,26.094785,44.076819,26.809025
2000-04-27,4.144387,36.19988,28.026194,13.028867,59.04641,25.112484,26.337271,33.399449,32.29222,80.370809,42.81022,85.211269,43.940923,27.318477,30.023925,15.632075,25.703751,29.405884,37.320768,23.861538,4.5034,24.731203,19.860446,21.762072,7.533476,22.347181,NA,25.458329,43.279685,26.997232
2000-04-28,4.056513,34.915374,27.9382,12.805631,59.327195,24.171876,25.694073,35.00422,31.442431,78.734896,41.126927,85.885257,44.466899,27.153908,29.312695,15.308095,25.20706,29.132634,36.27683,23.840176,4.5164,24.369635,19.493415,23.316505,7.491356,22.414763,NA,25.458329,41.544746,25.993462
2000-05-01,4.064687,35.353272,27.498228,12.602689,61.132289,24.509075,25.558661,33.700343,31.867326,81.901179,40.853961,86.270392,44.576478,27.215621,29.973126,14.984114,25.745142,29.23773,35.265516,25.100544,4.841317,24.188852,19.478121,23.071069,7.252638,22.347181,NA,24.609716,43.467246,26.098021
2000-05-02,3.854198,34.579643,26.706279,12.866514,58.190665,25.360947,26.20186,34.50273,32.204744,78.523811,41.354399,85.788973,42.494489,27.709329,30.938359,14.984114,25.952096,29.23773,36.146338,23.8829,4.704852,24.839673,19.513806,23.193787,7.077117,22.61751,NA,23.336798,43.232795,26.181669
2000-05-03,3.762237,33.163765,26.266307,12.622984,56.532659,24.793032,26.472681,33.098546,31.204982,76.94067,39.307152,83.285591,41.759692,27.400762,30.17633,15.713071,24.710369,28.859384,35.656992,24.117884,4.405925,24.695046,19.778884,22.007509,6.88053,22.09938,NA,23.522435,40.091149,25.930726
2000-05-04,3.619186,33.806014,26.882268,12.318571,54.446781,25.094737,26.946616,31.844819,30.792581,76.149099,38.215287,82.900455,41.935061,27.339048,29.769912,15.713071,23.675597,28.733269,35.069778,24.07516,4.444916,24.875829,19.717712,22.171133,7.013931,22.257072,NA,22.832938,38.26243,26.599906
