date,ticker,price
2000-09-20,VZ,18.177372
2000-09-21,VZ,17.852772
2000-09-22,VZ,18.799511
2000-09-25,VZ,18.664262
2000-09-26,VZ,18.77246
2000-09-27,VZ,18.799511
2000-09-28,VZ,20.44954
2000-09-29,VZ,20.963486
2000-10-02,VZ,20.503641
2000-10-03,VZ,20.61184
2000-10-04,VZ,21.396279
2000-10-05,VZ,22.627429
2000-10-06,VZ,21.973139
2000-10-09,VZ,21.645997
2000-10-10,VZ,21.182543
2000-10-11,VZ,20.255637
2000-10-12,VZ,20.037543
2000-10-13,VZ,20.282899
2000-10-16,VZ,20.255637
2000-10-17,VZ,21.10076
2000-10-18,VZ,20.855401
2000-10-19,VZ,20.964449
2000-10-20,VZ,21.128023
2000-10-23,VZ,21.67326
2000-10-24,VZ,21.891356
2000-10-25,VZ,21.755045
2000-10-26,VZ,22.24576
2000-10-27,VZ,23.145404
2000-10-30,VZ,24.154099
2000-10-31,VZ,25.217316
2000-11-01,VZ,24.317669
2000-11-02,VZ,25.190053
2000-11-03,VZ,24.86291
2000-11-06,VZ,24.235884
2000-11-07,VZ,23.963262
2000-11-08,VZ,24.017788
2000-11-09,VZ,24.426715
2000-11-10,VZ,24.617553
2000-11-13,VZ,24.835647
2000-11-14,VZ,24.317669
2000-11-15,VZ,23.636121
2000-11-16,VZ,23.472551
2000-11-17,VZ,22.627429
2000-11-20,VZ,22.790997
2000-11-21,VZ,22.872788
2000-11-22,VZ,23.118145
2000-11-24,VZ,23.009099
2000-11-27,VZ,23.418025
2000-11-28,VZ,23.990525
2000-11-29,VZ,24.344932
2000-11-30,VZ,24.508505
2000-12-01,VZ,24.453979
2000-12-04,VZ,24.86291
2000-12-05,VZ,25.190053
2000-12-06,VZ,25.626243
2000-12-07,VZ,25.244575
2000-12-08,VZ,24.508505
2000-12-11,VZ,24.045051
2000-12-12,VZ,24.154099
2000-12-13,VZ,25.108268
2000-12-14,VZ,24.753864
2000-12-15,VZ,24.126836
2000-12-18,VZ,24.344932
2000-12-19,VZ,22.627429
2000-12-20,VZ,21.864091
2000-12-21,VZ,21.291591
2000-12-22,VZ,20.991712
2000-12-26,VZ,21.700523
2000-12-27,VZ,22.054929
2000-12-28,VZ,21.346117
2000-12-29,VZ,21.864091
2001-01-02,VZ,21.918619
2001-01-03,VZ,23.172667
2001-01-04,VZ,23.854215
2001-01-05,VZ,23.799694
2001-01-08,VZ,23.831542
2001-01-09,VZ,24.380654
2001-01-10,VZ,24.68267
2001-01-11,VZ,24.490477
2001-01-12,VZ,24.380654
2001-01-16,VZ,23.88645
2001-01-17,VZ,23.694263
2001-01-18,VZ,24.490477
2001-01-19,VZ,24.325745
2001-01-22,VZ,23.694263
2001-01-23,VZ,23.639354
2001-01-24,VZ,22.788226
2001-01-25,VZ,22.486211
2001-01-26,VZ,22.788226
2001-01-29,VZ,23.405431
2001-01-30,VZ,23.673395
2001-01-31,VZ,24.139047
2001-02-01,VZ,24.161009
2001-02-02,VZ,22.843134
2001-02-05,VZ,23.062779
2001-02-06,VZ,23.897436
2001-02-07,VZ,23.260463
2001-02-08,VZ,23.348319
2001-02-09,VZ,23.058388
2001-02-12,VZ,23.480109
2001-02-13,VZ,23.809575
2001-02-14,VZ,22.930995
2001-02-15,VZ,22.891458
2001-02-16,VZ,23.071567
2001-02-20,VZ,22.601529
2001-02-21,VZ,21.525265
2001-02-22,VZ,21.525265
2001-02-23,VZ,21.577976
2001-02-26,VZ,22.38188
2001-02-27,VZ,22.337951
2001-02-28,VZ,21.74491
2001-03-01,VZ,21.279258
2001-03-02,VZ,21.749302
2001-03-05,VZ,21.143078
2001-03-06,VZ,21.138686
2001-03-07,VZ,20.980539
2001-03-08,VZ,21.635088
2001-03-09,VZ,20.971757
2001-03-12,VZ,20.848757
2001-03-13,VZ,21.604335
2001-03-14,VZ,20.602754
2001-03-15,VZ,21.107937
2001-03-16,VZ,20.791649
